Repo,Description
https://github.com/333-9/awk-html-generator,generates html sites from markdown-like syntax
https://github.com/aaronjanse/3mux,Terminal multiplexer inspired by i3
https://github.com/aaronraimist/element-themes,"A place to share themes for Element (formerly Riot), PRs with new themes are welcome!"
https://github.com/adi1090x/rofi,"A large collection of Rofi based custom Menu, Applets, Launchers & Powermenus."
https://github.com/afontenot/firefox-clean,A PKGBUILD for Firefox with defaults for the privacy-conscious and power users
https://github.com/aizenbit/Scribbler,A program that creates handwritten text from a typed text by simulating user's own handwriting
https://github.com/Ajatt-Tools/impd,AJATT-style passive listening and condensed audio without bloat.
https://github.com/Ajatt-Tools/learn-now-button,Put cards in the learning queue from the Card Browser.
https://github.com/Ajatt-Tools/mergenotes,Merge content of selected cards
https://github.com/Ajatt-Tools/mortician,Buries time-wasting cards that you keep failing. 
https://github.com/Ajatt-Tools/mpvacious,Adds mpv keybindings to create Anki cards from movies and TV shows.
https://github.com/Ajatt-Tools/videoclip,Easily create videoclips with mpv.
https://github.com/Akianonymus/parallel-bash,Parallel processing of commands in pure bash along with the support of functions.
https://github.com/alevchuk/vim-clutch,A hardware pedal for improved text editing in Vim
https://github.com/alphacep/vosk-api,"Offline speech recognition API for Android, iOS, Raspberry Pi and servers with Python, Java, C# and Node"
https://github.com/amustafa/recovering-incomplete-monero-mnemonic,
https://github.com/Andr3as07/dotfiles,
https://github.com/anntzer/pypi2pkgbuild,A PyPI to PKGBUILD converter.
https://github.com/ap4y/leaf,Flashcard app that uses spaced repetition algorithms for interval calculations
https://github.com/aprikyan/google-books-downloader,An open-source utility to scrape Google Books
https://github.com/arcolinuxd/arco-i3,All scripts necessary to have an awesome deskop experience on ArcoLinux or vanilla Arch Linux installation
https://github.com/asakura42/manyame,anime cli xdcc download script for linux/win/mac/android
https://github.com/asamuzaK/shareSNS,Share with SNS
https://github.com/Astu04/kanji2hiragana,"Script to turn a kanji text to hiragana, designed to use with subtitles. "
https://github.com/autokey/autokey,"AutoKey, a desktop automation utility for Linux and X11."
https://github.com/Awesome-Windows/Awesome,:computer: 🎉 An awesome & curated list of best applications and tools for Windows.
https://github.com/banhao/cryptocurrency_trading_simulator,
https://github.com/berlinfirewall/sichan,Extremely simple imageboard software
https://github.com/berteh/ScribusGenerator,Create beautiful documents with data. Open source pdf (and Scribus) template and mail-merge alternative.
https://github.com/betaiotazeta/AutoShiftPlanner,Auto Shift Planner is a user-friendly desktop application that can design detailed employees shift schedules and solve them automatically while meeting the maximum satisfaction of constraints.
https://github.com/Biont/sway-launcher-desktop,"TUI Application launcher with Desktop Entry support. Made for SwayWM, but runs anywhere"
https://github.com/blueprint-freespeech/ricochet-refresh,Anonymous peer-to-peer instant messaging
https://github.com/bogachenko/filterlist,Yet another anti-bullshit filter list.
https://github.com/bogachenko/fuckfuckadblock,Filters for blocking pop-ups and anti-adblock bypass.
https://github.com/bontibon/kjv,Read the Word of God from your terminal
https://github.com/bpeel/notbit,A minimal Bitmessage client
https://github.com/buckket/twtxt,"Decentralised, minimalist microblogging service for hackers."
https://github.com/cbuijs/accomplist,ACCOMPLIST - List Compiler
https://github.com/cfenollosa/feedtube,A feed video downloader for Youtube
https://github.com/ChipCE/Smartphone-tablet-as-second-monitor-for-linux,Use android as second monitor for linux
https://github.com/chmln/sd,Intuitive find & replace CLI (sed alternative)
https://github.com/christianbraathen/spaced_repetition,A digital assistant helping you to identify when to repeat exercises
https://github.com/codazoda/neatcss,"Rapidly build efficient sites with Neat, the minimalist css framework."
https://github.com/coyove/chann,Chann is an anonymous imageboard written in C/C++
https://github.com/croqaz/awesome-decentralized,"🕶 Awesome list of distributed, decentralized, p2p apps and tools 👍"
https://github.com/cruegge/pam-gnupg,Unlock GnuPG keys on login
https://github.com/cvzi/mpv-youtube-upnext,"A userscript for MPV that allows you to play ""up next""/recommended youtube videos"
https://github.com/DanWin/hosting,This is a setup for a Tor based shared web hosting server
https://github.com/deltachat/provider-db,Database of Email Providers and how good they work with DeltaChat
https://github.com/dikiaap/dotfiles,"Get ready for dotfiles. Contains i3, i3blocks, rofi, dunst, picom, vim, tmux, and zsh."
https://github.com/dnbrakk/comfy,Comfy is a console application for browsing imageboards. It supports mouse input and can display images.
https://github.com/dobrosketchkun/mastodondump,dump of the https://the-federation.info/mastodon list updated with self-descriptions and lists of banned instances
https://github.com/dobrosketchkun/Not_quite_SSML_tag_editor,Wrapping my shitty tags around unreadable SSML tags
https://github.com/dudik/herbe,Daemon-less notifications without D-Bus. Minimal and lightweight.
https://github.com/edykim/weekly-planner-template,Weekly Planner Template
https://github.com/erroneousboat/anki-md, A markdown to anki flash cards converter
https://github.com/everard/xkbmon,Minimalistic asynchronous command-line keyboard layout monitor for X11. Useful for configuring i3blocks.
https://github.com/eXeC64/imv,Image viewer for X11/Wayland
